id,name,email,tax_id,address,country,zip,load_date
FLATFILE-0001,Sarah M.,sarah.miller@mail.com,TAX-95181,226 Main St,DE,64987,2026-04-13
FLATFILE-0002,LINDA BROWN,linda.brown@example.com,TAX-46434,855 Main St,IN,93320,2026-01-20
FLATFILE-0003,Richard R.,richard.rodriguez@acme.com,???,218 Main St,DE,51245,2026-07-11
FLATFILE-0004,PATRICIA MOORE,patricia.moore@example.com,TAX-94012,301 Main St,UK,24621,2026-01-17
FLATFILE-0005,Charles Williams,charles.williams@acme.com,TAX-73699,785 Main St,US,79822,2026-04-21
FLATFILE-0006,Joseph Taylor,not-an-email,TAX-25860,66 Main St,CA,39451,2026-02-27
FLATFILE-0007,Patricia Brown,patricia.brown@mail.com,TAX-66498,421 Main St,UK,65519,2026-01-24
FLATFILE-0008,Michael  Gonzalez,michael.gonzalez@acme.com,TAX-31579,400 Main St,IN,10282,2026-01-26
FLATFILE-0011,D. Jones,david.jones@example.com,???,292 Main St,CA,58434,2026-01-27
FLATFILE-0013,Elizabeth Lopez,elizabeth.lopez@acme.com,TAX-56898,256 Main St,CA,99399,2026-02-17
FLATFILE-0014,J. Garcia,not-an-email,TAX-13248,802 Main St,CA,53540,2026-03-11
FLATFILE-0016,Michael Lopez,michael.lopez@example.com,TAX-19171,322 Main St,UK,91678,2026-05-14
FLATFILE-0017,Michael Wilson,michael.wilson@mail.com,TAX-59695,583 Main St,CA,90676,2026-07-15
FLATFILE-0018,Elizabeth Davis,elizabeth.davis@acme.com,TAX-29313,251 Main St,US,16057,2026-07-13
FLATFILE-0020,John Jones,john.jones@acme.com,TAX-60205,66 Main St,CA,38043,2026-04-17
FLATFILE-0022,Michael Anderson,not-an-email,TAX-54236,771 Main St,IN,46471,2026-01-11
FLATFILE-0023,Patricia Jackson,patricia.jackson@acme.com,???,930 Main St,DE,98781,2026-06-21
FLATFILE-0024,david martin,david.martin@mail.com,TAX-73372,846 Main St,IN,67091,2026-04-20
FLATFILE-0025,L. Wilson,linda.wilson@example.com,TAX-82768,662 Main St,CA,72402,2026-07-15
FLATFILE-0028,T. Gonzalez,thomas.gonzalez@example.com,TAX-68028,440 Main St,UK,87139,2026-04-19
FLATFILE-0030,Thomas  Moore,thomas.moore@example.com,???,41 Main St,US,88385,2026-07-18
